smyth-id,citation,author,work,loc
s1164,Xen. Hell. 7.4.38,X.,H., 7.4.38
s1164,Thuc. 8.90,T.,, 8.90
s1165,Dem. 19.254,D.,, 19.254
s1166,Dem. 18.176,D.,, 18.176
s1166,Dem. 18.179,D.,, 18.179
s1166,Dem. 18.188,D.,, 18.188
s1166,Dem. 8.46,D.,, 8.46
s1167,Thuc. 7.75,T.,, 7.75
s1167,Thuc. 1.110,T.,, 1.110
s1167,Dem. 57.65,D.,, 57.65
s1168,Thuc. 2.93,T.,, 2.93
s1168,Thuc. 8.27,T.,, 8.27
s1168,Xen. Anab. 1.8.6,X.,A., 1.8.6
s1169,Isoc. 9.3,I.,, 9.3
s1169,Xen. Cyrop. 2.1.2,X.,C., 2.1.2
s1169,Isoc. 1.17,I.,, 1.17
s1170,Xen. Ec. 19.14,X.,O., 19.14
s1171,Xen. Anab. 1.5.13,X.,A., 1.5.13
s1172,Xen. Cyrop. 8.8.17,X.,C., 8.8.17
s1172,Xen. Anab. 1.2.7,X.,A., 1.2.7
s1174,Thuc. 3.36,T.,, 3.36
s1174,Thuc. 1.60,T.,, 1.60
s1174,Lys. 14.42,L.,, 14.42
s1174,Lys. 12.60,L.,, 12.60
s1174,Plat. Rep. 579b,P.,R., 579b
s1174,Xen. Anab. 2.5.9,X.,A., 2.5.9
s1174,Thuc. 2.41,T.,, 2.41
s1177,Plat. Apol. 33d,P.,A., 33d
s1177,Plat. Sym. 213c,P.,S., 213c
s1178,Dem. 18.243,D.,, 18.243
s1178,Plat. Gorg. 505c,P.,G., 505c
s1178,Thuc. 6.59,T.,, 6.59
s1178,Thuc. 2.74,T.,, 2.74
s1178,Dem. 27.23,D.,, 27.23
s1178,Aristoph. Ach. 708,Ar.,Ach., 708
s1178,Xen. Anab. 4.8.4,X.,A., 4.8.4
s1178,Plat. Apol. 24b,P.,A., 24b
s1180,Dem. 18.305,D.,, 18.305
s1180,Thuc. 6.44,T.,, 6.44
s1181,Plat. Sym. 189d,P.,S., 189d
s1181,Xen. Anab. 4.2.6,X.,A., 4.2.6
s1183,Dem. 9.41,D.,, 9.41
s1183,Plat. Euthyph. 5a,P.,Euth., 5a
s1184,Xen. Cyrop. 1.3.1,X.,C., 1.3.1
s1184,Dem. 4.3,D.,, 4.3
s1184,Hdt. 6.23,Hdt.,, 6.23
s1184,Thuc. 6.102,T.,, 6.102
s1185,Aristoph. Wasps 1398,Ar.,Vesp., 1398
s1185,Andoc. 1.50,And.,, 1.50
s1185,Hom. Od. 16.241,H.,Od.,16.241
s1186,Plat. Phaedrus 277a,P.,Phae., 277a
s1187,Plat. Lysis 203b,P.,Lys., 203b
s1188,Xen. Hiero 9.5,X.,Hi., 9.5
s1189,Xen. Cyrop. 1.3.6,X.,C., 1.3.6
s1190,Xen. Anab. 1.3.6,X.,A., 1.3.6
s1191,Xen. Cyrop. 5.5.21,X.,C., 5.5.21
s1192,Xen. Anab. 1.6.7,X.,A., 1.6.7
s1193,Dem. 9.17,D.,, 9.17
s1193,Ps. Xen. Const. Ath. 1.11,X.,R. A., 1.11
s1197,Xen. Cyrop. 3.1.28,X.,C., 3.1.28
s1199,Antiph. 1.23,Ant.,, 1.23
s1199,Soph. OT 416,S.,O. T., 416
s1199,Hom. Od. 2.45,H.,Od.,2.45
s1199,Andoc. 1.117,And.,, 1.117
s1199,Xen. Sym. 5,X.,S., 5
s1199,Soph. El. 879,S.,El., 879
s1199,Aeschin. 2.94,Aes.,, 2.94
s1199,Xen. Cyrop. 7.2.28,X.,C., 7.2.28
s1200,Xen. Cyrop. 6.3.21,X.,C., 6.3.21
s1200,Plat. Lach. 179c,P.,Lach., 179c
s1200,Thuc. 2.11,T.,, 2.11
s1200,Plat. Gorg. 514b,P.,G., 514b
s1200,Isoc. 3.57,I.,, 3.57
s1200,Lys. 12.30,L.,, 12.30
s1201,Plat. Prot. 310d,P.,Pr., 310d
s1201,Xen. Anab. 2.2.8,X.,A., 2.2.8
s1201,Lys. 3.11,L.,, 3.11
s1201,Hom. Od. 11.282,H.,Od.,11.282
s1201,Thuc. 2.101,T.,, 2.101
s1201,Andoc. 4.15,And.,, 4.15
s1202,Thuc. 2.12,T.,, 2.12
s1202,Lys. 13.72,L.,, 13.72
s1202,Antiph. 1.30,Ant.,, 1.30
s1202,Xen. Hell. 4.4.7,X.,H., 4.4.7
s1202,Hdt. 5.58,Hdt.,, 5.58
s1202,Andoc. 3.2,And.,, 3.2
s1205,Plat. Gorg. 511e,P.,G., 511e
s1206,Thuc. 1.114,T.,, 1.114
s1207,Xen. Anab. 2.1.5,X.,A., 2.1.5
s1208,Thuc. 4.78,T.,, 4.78
s1208,Dem. 2.2,D.,, 2.2
s1209,Xen. Hell. 2.2.17,X.,H., 2.2.17
s1209,Aristoph. Cl. 220,Ar.,Nub., 220
s1209,,Diog. Laert.,, 8.1
s1209,Thuc. 4.60,T.,, 4.60
s1209,Aeschin. 3.207,Aes.,, 3.207
s1209,Xen. Anab. 4.7.7,X.,A., 4.7.7
s1209,Thuc. 4.4,T.,, 4.4
s1209,Thuc. 1.139,T.,, 1.139
s1210,Thuc. 4.58,T.,, 4.58
s1210,Xen. Anab. 1.1.7,X.,A., 1.1.7
s1210,Antiph. 5.50,Ant.,, 5.50
s1210,Thuc. 2.61,T.,, 2.61
s1211,Hom. Od. 8.107,H.,Od.,8.107
s1212,Lys. 1.12,L.,, 1.12
s1214,Lys. 12.14,L.,, 12.14
s1214,Xen. Anab. 1.7.8,X.,A., 1.7.8
s1215,Xen. Cyrop. 1.3.15,X.,C., 1.3.15
s1216,Xen. Mem. 3.10.14,X.,M., 3.10.14
s1216,Xen. Anab. 6.4.9,X.,A., 6.4.9
s1217,Plat. Theaet. 192a,P.,Th., 192a
s1218,Xen. Hell. 6.5.21,X.,H., 6.5.21
s1218,Thuc. 4.38,T.,, 4.38
s1218,Xen. Cyrop. 7.3.14,X.,C., 7.3.14
s1218,Plat. Charm. 164e,P.,Charm., 164e
s1219,Eur. Hipp. 1409,E.,Hipp., 1409
s1220,Thuc. 7.82,T.,, 7.82
s1222,Plat. Apol. 38e,P.,A., 38e
s1222,Plat. Crito 53e,P.,Cr., 53e
s1222,Plat. Rep. 368b,P.,R., 368b
s1223,Plat. Gorg. 474b,P.,G., 474b
s1225,Xen. Anab. 2.5.29,X.,A., 2.5.29
s1225,Thuc. 1.111,T.,, 1.111
s1226,Xen. Mem. 1.2.52,X.,M., 1.2.52
s1227,Thuc. 2.92,T.,, 2.92
s1228,Plat. Rep. 614b,P.,R., 614b
s1228,Thuc. 2.65,T.,, 2.65
s1228,Xen. Mem. 4.7.1,X.,M., 4.7.1
s1228,Antiph. 1.16,Ant.,, 1.16
s1228,Xen. Cyrop. 1.4.1,X.,C., 1.4.1
s1228,Andoc. 3.27,And.,, 3.27
s1228,Xen. Anab. 7.5.9,X.,A., 7.5.9
s1229,Xen. Anab. 3.4.1,X.,A., 3.4.1
s1229,Thuc. 5.44,T.,, 5.44
s1230,Plat. Phaedo 78b,P.,Ph., 78b
s1230,Xen. Cyrop. 6.3.27,X.,C., 6.3.27
s1230,Hom. Od. 9.28,H.,Od.,9.28
s1231,Dem. 48.6,D.,, 48.6
s1232,Xen. Mem. 3.5.16,X.,M., 3.5.16
s1232,Isoc. 4.168,I.,, 4.168
s1232,Plat. Phaedrus 237c,P.,Phae., 237c
s1232,Dem. 48.9,D.,, 48.9
s1234,Thuc. 5.114,T.,, 5.114
s1235,Xen. Cyrop. 8.5.8,X.,C., 8.5.8
s1235,Xen. Anab. 2.4.10,X.,A., 2.4.10
s1236,Lys. 1.4,L.,, 1.4
s1239,Xen. Cyrop. 8.7.24,X.,C., 8.7.24
s1239,Dem. 9.9,D.,, 9.9
s1239,Plat. Rep. 432b,P.,R., 432b
s1239,Aristoph. Frogs 21,Ar.,Ran., 21
s1241,Soph. El. 1474,S.,El., 1474
s1241,Soph. Ant. 64,S.,Ant., 64
s1241,Soph. Ant. 155,S.,Ant., 155
s1242,Soph. El. 1004,S.,El., 1004
s1242,Soph. Trach. 305,S.,Tr., 305
s1243,Aristoph. Ach. 1048,Ar.,Ach., 1048
s1243,Aristoph. Frogs 198,Ar.,Ran., 198
s1244,Thuc. 6.77,T.,, 6.77
s1245,Xen. Cyrop. 5.2.31,X.,C., 5.2.31
s1246,Xen. Anab. 2.6.30,X.,A., 2.6.30
s1247,Xen. Anab. 1.3.14,X.,A., 1.3.14
s1247,Thuc. 4.58,T.,, 4.58
s1248,Plat. Rep. 606b,P.,R., 606b
s1248,Xen. Anab. 3.1.41,X.,A., 3.1.41
s1249,Plat. Gorg. 473e,P.,G., 473e
s1250,Plat. Charm. 165a,P.,Charm., 165a
s1251,Lys. 20.20,L.,, 20.20
s1252,Plat. Rep. 345b,P.,R., 345b
s1253,Thuc. 1.122,T.,, 1.122
s1254,Dem. 3.21,D.,, 3.21
s1254,Plat. Hipp. Maj. 282b,P.,Hipp. M., 282b
s1254,Plat. Crito 45a,P.,Cr., 45a
s1254,Plat. Rep. 368a,P.,R., 368a
s1257,Thuc. 1.51,T.,, 1.51
s1257,Xen. Anab. 1.8.26,X.,A., 1.8.26
s1258,Plat. Prot. 310d,P.,Pr., 310d
s1258,Xen. Hell. 3.2.9,X.,H., 3.2.9
s1259,Thuc. 2.11,T.,, 2.11
s1259,Xen. Cyrop. 3.2.12,X.,C., 3.2.12
s1260,Soph. OC 138,S.,O. C., 138
s1260,Aristoph. Ach. 41,Ar.,Ach., 41
s1260,Eur. Med. 98,E.,Med., 98
s1261,Xen. Cyrop. 5.5.29,X.,C., 5.5.29
s1261,Dem. 8.72,D.,, 8.72
s1261,Lys. 16.7,L.,, 16.7
s1263,Xen. Anab. 1.3.18,X.,A., 1.3.18
s1263,Aristoph. Birds 1499,Ar.,Av., 1499
s1264,Aeschin. 3.167,Aes.,, 3.167
s1264,Dem. 18.246,D.,, 18.246
s1265,Plat. Gorg. 449a,P.,G., 449a
s1265,Xen. Mem. 1.1.16,X.,M., 1.1.16
s1265,Xen. Mem. 3.9.8,X.,M., 3.9.8
s1267,Plat. Apol. 27d,P.,A., 27d
s1267,Xen. Anab. 1.2.20,X.,A., 1.2.20
s1267,Soph. OC 289,S.,O. C., 289
s1267,Aristoph. Frogs 554,Ar.,Ran., 554
s1267,Dem. 4.8,D.,, 4.8
s1268,Plat. Rep. 596c,P.,R., 596c
s1268,Plat. Apol. 30e,P.,A., 30e
s1268,Xen. Ec. 4.11,X.,O., 4.11
s1268,Thuc. 8.73,T.,, 8.73
s1268,Thuc. 8.100,T.,, 8.100
s1269,Dem. 21.213,D.,, 21.213
s1269,Xen. Cyrop. 1.4.20,X.,C., 1.4.20
s1270,Plat. Apol. 17b,P.,A., 17b
s1270,Plat. Laws 657a,P.,L., 657a
s1270,Xen. Cyrop. 7.5.45,X.,C., 7.5.45
s1272,Thuc. 7.70,T.,, 7.70
s1272,Xen. Hell. 2.4.9,X.,H., 2.4.9
s1272,Aristoph. Eccl. 849,Ar.,Eccl., 849
s1273,Xen. Anab. 1.3.3,X.,A., 1.3.3
s1273,Thuc. 4.111,T.,, 4.111
s1274,Xen. Anab. 2.1.15,X.,A., 2.1.15
s1274,Eur. Alc. 893,E.,Alc., 893
s1275,Plat. Apol. 22d,P.,A., 22d
s1276,Hom. Od. 2.1,H.,Od.,2.1
s1277,Xen. Cyrop. 6.1.47,X.,C., 6.1.47
s1283,Plat. Prot. 310d,P.,Pr., 310d
s1283,Xen. Cyrop. 2.2.7,X.,C., 2.2.7
s1284,Dem. 18.121,D.,, 18.121
s1287,Plat. Prot. 337c,P.,Pr., 337c
s1287,Xen. Cyrop. 3.3.20,X.,C., 3.3.20
s1287,Aristoph. Frogs 521,Ar.,Ran., 521
s1288,Soph. Aj. 89,S.,Aj., 89
s1288,Aristoph. Wasps 1,Ar.,Vesp., 1
s1288,Plat. Phaedrus 227c,P.,Phae., 227c
s1288,Hom. Il. 4.189,H.,Il.,4.189
s1288,Soph. Phil. 254,S.,Ph., 254
s1288,Aristoph. Kn. 273,Ar.,Eq., 273
s1293,Soph. Ant. 1,S.,Ant., 1
s1294,Xen. Cyrop. 2.1.5,X.,C., 2.1.5
s1295,Xen. Anab. 1.1.1,X.,A., 1.1.1
s1296,Thuc. 4.57,T.,, 4.57
s1297,Lys. 3.32,L.,, 3.32
s1297,Xen. Anab. 1.2.5,X.,A., 1.2.5
s1298,Dem. 20.103,D.,, 20.103
s1299,Plat. Laws 712d,P.,L., 712d
s1299,Lys. 8.19,L.,, 8.19
s1299,Plat. Laws 657d,P.,L., 657d
s1299,Dem. 4.12,D.,, 4.12
s1299,Aristoph. Kn. 1216,Ar.,Eq., 1216
s1299,Soph. Aj. 124,S.,Aj., 124
s1299,Thuc. 2.11,T.,, 2.11
s1299,Plat. Lach. 188b,P.,Lach., 188b
s1299,Plat. Gorg. 450c,P.,G., 450c
s1299,Plat. Apol. 36c,P.,A., 36c
s1300,Dem. 18.28,D.,, 18.28
s1301,Thuc. 4.104,T.,, 4.104
s1301,Soph. Aj. 172,S.,Aj., 172
s1301,Aristoph. Eccl. 46,Ar.,Eccl., 46
s1301,Andoc. 1.17,And.,, 1.17
s1301,Xen. Anab. 1.5.13,X.,A., 1.5.13
s1302,Aristoph. Pl. 84,Ar.,Plut., 84
s1302,Dem. 5.7,D.,, 5.7
s1302,Xen. Cyrop. 2.3.9,X.,C., 2.3.9
s1302,Thuc. 1.15,T.,, 1.15
s1302,Plat. Prot. 320a,P.,Pr., 320a
s1303,Plat. Prot. 316b,P.,Pr., 316b
s1303,Lys. 12.58,L.,, 12.58
s1303,Dem. 9.43,D.,, 9.43
s1303,Thuc. 2.29,T.,, 2.29
s1303,Dem. 18.56,D.,, 18.56
s1304,Dem. 8.72,D.,, 8.72
s1304,,Men.,Sent., 463
s1304,Xen. Anab. 3.2.39,X.,A., 3.2.39
s1305,Xen. Ages. 1.33,X.,Ages., 1.33
s1305,Dem. 18.254,D.,, 18.254
s1305,Lys. 14.11,L.,, 14.11
s1305,Eur. Alc. 789,E.,Alc., 789
s1305,Eur. Andr. 12,E.,And., 12
s1305,Xen. Anab. 2.1.11,X.,A., 2.1.11
s1305,Xen. Cyrop. 4.3.21,X.,C., 4.3.21
s1307,Dem. 18.104,D.,, 18.104
s1307,Plat. Gorg. 525c,P.,G., 525c
s1307,Thuc. 7.27,T.,, 7.27
s1308,Xen. Anab. 4.6.14,X.,A., 4.6.14
s1308,Thuc. 8.93,T.,, 8.93
s1310,Thuc. 1.1,T.,, 1.1
s1310,Thuc. 6.3,T.,, 6.3
s1310,Xen. Cyrop. 2.3.7,X.,C., 2.3.7
s1311,Thuc. 2.18,T.,, 2.18
s1311,Thuc. 3.93,T.,, 3.93
s1312,Dem. 27.68,D.,, 27.68
s1312,Plat. Apol. 32b,P.,A., 32b
s1312,Xen. Anab. 3.1.3,X.,A., 3.1.3
s1312,Thuc. 3.92,T.,, 3.92
s1312,Plat. Rep. 515a,P.,R., 515a
s1313,Thuc. 2.56,T.,, 2.56
s1314,Thuc. 5.73,T.,, 5.73
s1315,Xen. Cyrop. 5.1.6,X.,C., 5.1.6
s1315,Xen. Anab. 3.3.11,X.,A., 3.3.11
s1315,Dem. 18.87,D.,, 18.87
s1315,Lys. 21.6,L.,, 21.6
s1316,Eur. Alc. 460,E.,Alc., 460
s1316,Soph. OT 465,S.,O. T., 465
s1317,Soph. Trach. 734,S.,Tr., 734
s1317,Thuc. 1.71,T.,, 1.71
s1317,Plat. Apol. 17a,P.,A., 17a
s1317,Xen. Cyrop. 5.2.12,X.,C., 5.2.12
s1317,Xen. Anab. 1.7.13,X.,A., 1.7.13
s1317,Thuc. 7.4,T.,, 7.4
s1317,Plat. Sym. 220a,P.,S., 220a
s1317,Plat. Apol. 24e,P.,A., 24e
s1317,Eur. Hec. 164,E.,Hec., 164
s1318,Xen. Anab. 3.5.16,X.,A., 3.5.16
s1319,Xen. Anab. 2.1.7,X.,A., 2.1.7
s1319,Isoc. 15.235,I.,, 15.235
s1319,Dem. 1.26,D.,, 1.26
s1320,Soph. Ant. 114,S.,Ant., 114
s1320,Eur. IT 134,E.,I. T., 134
s1320,Dem. 8.48,D.,, 8.48
s1320,Hdt. 1.107,Hdt.,, 1.107
s1320,Plat. Laws 642a,P.,L., 642a
s1320,Thuc. 3.70,T.,, 3.70
s1320,Aeschin. 3.168,Aes.,, 3.168
s1322,Dem. 43.74,D.,, 43.74
s1322,Plat. Apol. 29b,P.,A., 29b
s1322,Hdt. 1.36,Hdt.,, 1.36
s1322,Thuc. 4.46,T.,, 4.46
s1322,Hom. Od. 5.292,H.,Od.,5.292
s1323,Hom. Il. 4.350,H.,Il.,4.350
s1323,Xen. Anab. 6.4.4,X.,A., 6.4.4
s1323,Xen. Hell. 4.4.12,X.,H., 4.4.12
s1323,Thuc. 2.13,T.,, 2.13
s1324,Dem. 22.70,D.,, 22.70
s1324,Hdt. 2.138,Hdt.,, 2.138
s1325,Lys. 5.3,L.,, 5.3
s1325,Thuc. 7.55,T.,, 7.55
s1325,Dem. 21.194,D.,, 21.194
s1325,Thuc. 7.2,T.,, 7.2
s1325,Thuc. 1.118,T.,, 1.118
s1325,Plat. Apol. 41c,P.,A., 41c
s1326,Xen. Ways 3.10,X.,Vect., 3.10
s1327,Thuc. 4.66,T.,, 4.66
s1327,Plat. Laws 721a,P.,L., 721a
s1328,Thuc. 2.52,T.,, 2.52
s1329,Aesch. Pers. 8,A.,Pers., 8
s1330,Xen. Anab. 1.2.17,X.,A., 1.2.17
s1330,Thuc. 2.59,T.,, 2.59
s1331,Thuc. 3.54,T.,, 3.54
s1331,Xen. Anab. 4.7.20,X.,A., 4.7.20
s1331,Plat. Laws 838a,P.,L., 838a
s1331,Thuc. 1.32,T.,, 1.32
s1332,Soph. Ant. 11,S.,Ant., 11
s1332,Thuc. 4.59,T.,, 4.59
s1332,Xen. Anab. 7.6.36,X.,A., 7.6.36
s1332,Plat. Laws 840c,P.,L., 840c
s1332,Plat. Phaedrus 244e,P.,Phae., 244e
s1332,Lys. 12.20,L.,, 12.20
s1332,Soph. OC 1161,S.,O. C., 1161
s1332,Eur. Hipp. 657,E.,Hipp., 657
s1332,Xen. Anab. 2.5.7,X.,A., 2.5.7
s1332,Isoc. 1.21,I.,, 1.21
s1332,Hom. Od. 9.421,H.,Od.,9.421
s1333,Thuc. 1.140,T.,, 1.140
s1334,Plat. Apol. 20e,P.,A., 20e
s1334,Soph. OC 1161,S.,O. C., 1161
s1334,Plat. Soph. 242a,P.,Soph., 242a
s1336,Lys. 30.20,L.,, 30.20
s1336,Dem. 55.25,D.,, 55.25
s1337,Dem. 19.222,D.,, 19.222
s1338,Plat. Phaedo 85a,P.,Ph., 85a
s1338,Plat. Laws 665b,P.,L., 665b
s1338,Thuc. 3.115,T.,, 3.115
s1340,Xen. Sym. 8,X.,S., 8
s1341,Dem. 54.35,D.,, 54.35
s1341,Aristoph. Wasps 1428,Ar.,Vesp., 1428
s1341,Hom. Il. 14.121,H.,Il.,14.121
s1341,Xen. Anab. 4.5.35,X.,A., 4.5.35
s1341,Thuc. 2.56,T.,, 2.56
s1342,Xen. Cyrop. 7.2.28,X.,C., 7.2.28
s1342,Andoc. 4.34,And.,, 4.34
s1343,Plat. Rep. 550c,P.,R., 550c
s1343,Xen. Hell. 2.4.40,X.,H., 2.4.40
s1343,Xen. Mem. 2.6.22,X.,M., 2.6.22
s1343,Plat. Laws 721b,P.,L., 721b
s1343,Xen. Anab. 5.3.9,X.,A., 5.3.9
s1344,Xen. Hiero 2.6,X.,Hi., 2.6
s1344,Aristoph. Wasps 972,Ar.,Vesp., 972
s1344,Eur. IT 1299,E.,I. T., 1299
s1345,Dem. 1.20,D.,, 1.20
s1345,Thuc. 2.81,T.,, 2.81
s1345,Thuc. 2.48,T.,, 2.48
s1345,Plat. Sym. 217d,P.,S., 217d
s1346,Hom. Il. 4.463,H.,Il.,4.463
s1346,Xen. Anab. 1.6.10,X.,A., 1.6.10
s1346,Plat. Charm. 153b,P.,Charm., 153b
s1346,Xen. Horse. 6.9,X.,Eq., 6.9
s1346,Hom. Od. 3.439,H.,Od.,3.439
s1348,Dem. 18.297,D.,, 18.297
s1348,Xen. Anab. 1.6.5,X.,A., 1.6.5
s1348,Plat. Sym. 186b,P.,S., 186b
s1349,Plat. Rep. 562c,P.,R., 562c
s1349,Aeschin. 1.137,Aes.,, 1.137
s1349,Xen. Sym. 4,X.,S., 4
s1349,Thuc. 1.8,T.,, 1.8
s1349,Plat. Rep. 438a,P.,R., 438a
s1349,Xen. Cyrop. 1.6.29,X.,C., 1.6.29
s1350,Isoc. 1.5,I.,, 1.5
s1350,Xen. Anab. 3.3.7,X.,A., 3.3.7
s1351,Xen. Anab. 5.7.33,X.,A., 5.7.33
s1352,Xen. Anab. 3.4.15,X.,A., 3.4.15
s1352,Thuc. 4.85,T.,, 4.85
s1353,Soph. Aj. 709,S.,Aj., 709
s1353,Hom. Od. 1.25,H.,Od.,1.25
s1354,Aristoph. Eccl. 524,Ar.,Eccl., 524
s1355,Xen. Mem. 4.3.11,X.,M., 4.3.11
s1355,Plat. Rep. 352b,P.,R., 352b
s1355,Xen. Anab. 3.1.3,X.,A., 3.1.3
s1355,Xen. Hell. 3.3.6,X.,H., 3.3.6
s1355,Hom. Od. 22.11,H.,Od.,22.11
s1355,Hom. Il. 14.5,H.,Il.,14.5
s1356,Isoc. 1.48,I.,, 1.48
s1356,Xen. Anab. 3.2.25,X.,A., 3.2.25
s1356,Plat. Crito 48a,P.,Cr., 48a
s1356,Isoc. 1.26,I.,, 1.26
s1356,Andoc. 4.41,And.,, 4.41
s1359,Dem. 19.25,D.,, 19.25
s1360,Plat. Phaedrus 238d,P.,Phae., 238d
s1360,Plat. Laws 835e,P.,L., 835e
s1361,Plat. Apol. 37d,P.,A., 37d
s1361,Plat. Prot. 325c,P.,Pr., 325c
s1361,Thuc. 1.3,T.,, 1.3
s1361,Aristoph. Frogs 654,Ar.,Ran., 654
s1361,Xen. Anab. 4.2.8,X.,A., 4.2.8
s1361,Dem. 8.4,D.,, 8.4
s1361,Xen. Cyrop. 1.3.10,X.,C., 1.3.10
s1362,Dem. 18.9,D.,, 18.9
s1363,Thuc. 2.3,T.,, 2.3
s1365,Hom. Od. 1.289,H.,Od.,1.289
s1365,Soph. OC 307,S.,O. C., 307
s1365,Thuc. 4.6,T.,, 4.6
s1366,Hdt. 6.12,Hdt.,, 6.12
s1366,,Men.,Sent., 566
s1366,Xen. Cyrop. 8.1.4,X.,C., 8.1.4
s1366,Thuc. 7.73,T.,, 7.73
s1367,Thuc. 5.83,T.,, 5.83
s1367,Xen. Cyrop. 3.1.4,X.,C., 3.1.4
s1367,Xen. Hell. 4.4.4,X.,H., 4.4.4
s1368,Xen. Cyrop. 7.2.18,X.,C., 7.2.18
s1368,Plat. Gorg. 517c,P.,G., 517c
s1369,Plat. Phaedrus 230b,P.,Phae., 230b
s1369,Soph. El. 1423,S.,El., 1423
s1369,Plat. Laws 713c,P.,L., 713c
s1369,Plat. Sym. 203b,P.,S., 203b
s1369,Xen. Ways 6.1,X.,Vect., 6.1
s1369,Plat. Apol. 32c,P.,A., 32c
s1369,Dem. 8.74,D.,, 8.74
s1369,Xen. Ec. 8.8,X.,O., 8.8
s1370,Xen. Ec. 21.12,X.,O., 21.12
s1370,Plat. Menex. 239e,P.,Menex., 239e
s1370,Plat. Sym. 195c,P.,S., 195c
s1370,Thuc. 2.10,T.,, 2.10
s1371,Thuc. 1.71,T.,, 1.71
s1372,Xen. Cyrop. 3.2.7,X.,C., 3.2.7
s1372,Dem. 8.70,D.,, 8.70
s1372,Plat. Apol. 20b,P.,A., 20b
s1372,Isoc. 4.154,I.,, 4.154
s1372,Plat. Rep. 333b,P.,R., 333b
s1372,Dem. 19.223,D.,, 19.223
s1373,Plat. Apol. 30a,P.,A., 30a
s1373,Plat. Prot. 328d,P.,Pr., 328d
s1373,Xen. Mem. 1.6.11,X.,M., 1.6.11
s1373,Aristoph. Cl. 31,Ar.,Nub., 31
s1374,Plat. Apol. 36b,P.,A., 36b
s1375,Lys. 27.3,L.,, 27.3
s1375,Plat. Euthyph. 5c,P.,Euth., 5c
s1375,Xen. Ages. 1.33,X.,Ages., 1.33
s1375,Lys. 11.12,L.,, 11.12
s1377,Dem. 21.32,D.,, 21.32
s1378,Dem. 24.103,D.,, 24.103
s1378,Plat. Apol. 35d,P.,A., 35d
s1378,Aristoph. Birds 1457,Ar.,Av., 1457
s1378,Andoc. 1.74,And.,, 1.74
s1378,Plat. Apol. 39b,P.,A., 39b
s1379,Xen. Hell. 2.3.12,X.,H., 2.3.12
s1379,Xen. Cyrop. 1.2.14,X.,C., 1.2.14
s1380,Hom. Od. 11.174,H.,Od.,11.174
s1380,Soph. El. 317,S.,El., 317
s1380,Plat. Rep. 459b,P.,R., 459b
s1381,Xen. Ec. 3.11,X.,O., 3.11
s1381,Plat. Charm. 165d,P.,Charm., 165d
s1381,Plat. Phaedo 78d,P.,Ph., 78d
s1382,Lys. 2.46,L.,, 2.46
s1383,Soph. OC 400,S.,O. C., 400
s1383,Plat. Laws 778e,P.,L., 778e
s1384,Aristoph. Ach. 380,Ar.,Ach., 380
s1384,Dem. 18.9,D.,, 18.9
s1384,Plat. Theaet. 149a,P.,Th., 149a
s1384,Thuc. 4.116,T.,, 4.116
s1384,Xen. Anab. 5.1.9,X.,A., 5.1.9
s1384,Isoc. 1.41,I.,, 1.41
s1384,Thuc. 3.5,T.,, 3.5
s1384,Andoc. 3.21,And.,, 3.21
s1385,Lys. 21.21,L.,, 21.21
s1385,Thuc. 6.60,T.,, 6.60
s1385,Isoc. 4.157,I.,, 4.157
s1385,Plat. Rep. 558a,P.,R., 558a
s1385,Dem. 21.5,D.,, 21.5
s1387,Thuc. 1.95,T.,, 1.95
s1387,Lys. 13.39,L.,, 13.39
s1387,Xen. Apol. 27,X.,Ap., 27
s1388,Xen. Ages. 2.7,X.,Ages., 2.7
s1388,Plat. Apol. 17a,P.,A., 17a
s1388,Thuc. 7.48,T.,, 7.48
s1388,Xen. Cyrop. 3.1.15,X.,C., 3.1.15
s1388,Xen. Anab. 3.1.19,X.,A., 3.1.19
s1388,Xen. Cyrop. 5.2.18,X.,C., 5.2.18
s1389,Xen. Mem. 2.6.33,X.,M., 2.6.33
s1389,Isoc. 6.93,I.,, 6.93
s1390,Soph. El. 344,S.,El., 344
s1390,Soph. Trach. 934,S.,Tr., 934
s1390,Eur. Orest. 497,E.,Or., 497
s1391,Hom. Il. 24.305,H.,Il.,24.305
s1392,Dem. 18.68,D.,, 18.68
s1392,Xen. Ages. 7.1,X.,Ages., 7.1
s1392,Thuc. 3.59,T.,, 3.59
s1392,Thuc. 3.51,T.,, 3.51
s1392,Isoc. 4.58,I.,, 4.58
s1392,Xen. Anab. 3.5.11,X.,A., 3.5.11
s1392,Lys. 6.24,L.,, 6.24
s1392,Soph. Phil. 919,S.,Ph., 919
s1392,Xen. Ages. 2.2,X.,Ages., 2.2
s1392,Xen. Hell. 6.2.13,X.,H., 6.2.13
s1392,Thuc. 2.67,T.,, 2.67
s1392,Plat. Menex. 246e,P.,Menex., 246e
s1392,Isoc. 1.14,I.,, 1.14
s1394,Isoc. 17.35,I.,, 17.35
s1394,Xen. Mem. 1.5.3,X.,M., 1.5.3
s1395,Soph. Ant. 417,S.,Ant., 417
s1395,Soph. OT 142,S.,O. T., 142
s1395,Xen. Sym. 4,X.,S., 4
s1396,Xen. Anab. 2.2.11,X.,A., 2.2.11
s1396,Xen. Hiero 1.14,X.,Hi., 1.14
s1396,Aesch. Supp. 660,A.,Supp., 660
s1397,Dem. 8.70,D.,, 8.70
